Species,Taxon ID
Mycoplasma capricolum subsp. capricolum ATCC 27343,340047
Takifugu bimaculatus,433685
Hydrogenovibrio crunogenus XCL-2,317025
Lactococcus lactis subsp. lactis Il1403,272623
Cochlearius cochlearius,110676
[Eubacterium] rectale ATCC 33656,
Lactiplantibacillus plantarum WCFS1,220668
Acaromyces ingoldii,215250
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,267671
Candidatus Methanoperedens nitroreducens,1392998
Hydrophis peronii,8676
Pseudogymnoascus sp. VKM F-4513 (FW-928),1420907
Trachemys scripta,365635
Venturia nashicola,86259
Drymodes brunneopygia,626378
Cucumis melo var. makuwa,1194695
Monascus purpureus,5098
Syrrhaptes paradoxus,302527
Oncorhynchus tshawytscha,74940
Clostridium sp. AF12-28,2292201
Larimichthys crocea,215358
Siccationidurans arizonensis,1227077
Osphronemus goramy,270604
Rickettsia rickettsii str. 'Sheila Smith',392021
Penaeus vannamei,6689
Ambystoma mexicanum,3073962
Micrurus fulvius,8637
Onchocerca ochengi,42157
Emiliania huxleyi,280463
Marmoricola aurantiacus,86796
'Echinacea purpurea' witches'-broom phytoplasma,1123738
Vibrio natriegens,1219067
Chordeiles acutipennis,118183
Gossypium laxum,34288
Ebola virus - Zaire (1995),
Bartonella henselae,283166
Beggiatoa sp. 4572_84,1972449
Anthoscopus minutus,156561
Agrobacterium fabrum str. C58,176299
Pseudomonas protegens Pf-5,220664
Xanthomonas citri pv. citri str. 306,190486
Zobellia uliginosa,143224
Bacillus cereus AH187,405534
Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_37_12,1974463
Deltaproteobacteria bacterium,1932695
Flammeovirga kamogawensis,373891
Colletotrichum tanaceti,1306861
Oriolus oriolus,181099
Monodon monoceros,40151
Dioscoreophyllum cumminsii,3457
Streptomyces sp. SW4,1453555
Trachymyrmex septentrionalis,34720
Planoprotostelium fungivorum,1890364
Thamnocephalis sphaerospora,78915
Xiphophorus maculatus,96538
Rhynchosporium commune,914237
Drosophila virilis,7244
Bostrychus sinensis,86224
Maledivibacter halophilus,36842
Prevotella intermedia,246198
[Acidovorax] ebreus TPSY,
Flavobacterium johnsoniae UW101,376686
Altererythrobacter sp.,742181
Fusarium verticillioides,117187
Chlamydia pneumoniae,138677
Chelon labrosus,48171
Neocallimastix californiae,1754190
Pyrus ussuriensis x Pyrus communis,352373
Myxococcales bacterium,253830
Catenibacterium sp. BIOML-A1,2584626
Chlamydia caviae GPIC,227941
Fusarium oxysporum f. sp. radicis-cucumerinum,327505
Actinia tenebrosa,6105
Sulfurimonas denitrificans DSM 1251,326298
Notodromas monacha,399045
Candidatus Desulforudis audaxviator MP104C,477974
Tolumonas auensis DSM 9187,595494
[Clostridium] leptum DSM 753,
Methanopyrus kandleri AV19,190192
Ophiophagus hannah,8665
Capreolus capreolus,9858
Piloderma croceum F 1598,765440
Schistosoma mansoni,6183
Halobacterium salinarum DSM 3754,2597657
Dracunculus medinensis,318479
Hydrophis stokesii,355677
Naja siamensis,84476
Medicago truncatula,3880
Vandammella animalimorsus,2029117
Ursus thibetanus,441215
Candidatus Pacearchaeota archaeon,2026773
Xylella fastidiosa M23,405441
Solanum lycopersicum,4081
Fusarium oxysporum f. sp. raphani 54005,1089458
Streptomyces bathyalis,2710756
Friedmanniomyces endolithicus,329885
Curvibacter sp.,2502197
Olsenella sp. kh2p3,1797112
Marinobacter sp. 3-2,2485141
Chryseobacterium oncorhynchi,741074
Naegleria fowleri,5763
Rhodoferax ferrireducens,338969
Prochlorococcus marinus str. NATL1A,167555
Photobacterium halotolerans,265726
Gramella forsetii KT0803,411154
Clostridiaceae bacterium,237671
Hylobates moloch,81572
Ascobolus immersus RN42,1160509
Zonotrichia albicollis,44394
Cervus elaphus,43330
Escherichia coli MS 21-1,749527
Canis lupus familiaris,9615
Pseudonocardia eucalypti,648755
Actinidia rufa,165716
Macaca mulatta,1449913
Ichthyomyzon gagei,302709
Bacteroides oleiciplenus,742727
Tscherskia triton,329627
Chara braunii,69332
Alouatta pigra,182253
Lachancea kluyveri,4934
Tetrahymena thermophila SB210,312017
Propioniferax innocua,1753
Phototrophicales bacterium,2364211
Halothiobacillus sp. 13-55-253,1970379
Plasmodium falciparum,137071
Lipotes vexillifer,118797
Pseudoxanthomonas suwonensis,935566
Micrurus pyrrhocryptus,129468
Thauera aromatica,859322
Human betaherpesvirus 5,10359
Peucedramus taeniatus,135441
Collichthys lucidus,240159
HIV-1 M:B_HXB2R,
Cricetulus griseus,10029
Bubalus bubalis,365610
Poseidonibacter sp. SJOD-M-33,2654171
Kryptolebias marmoratus,37003
Brucella abortus S19,430066
Conus victoriae,319920
Penicillium digitatum,1254403
Opsariichthys bidens,141458
Asterias rubens,7604
Ameiurus melas,219545
Streptococcus pyogenes serotype M1,1207470
Halodesulfovibrio marinisediminis DSM 17456,1121457
Hydatigera taeniaeformis,6205
candidate division MSBL1 archaeon SCGC-AAA382K21,1698283
Nothocercus nigrocapillus,1977171
Nocardioides gansuensis,2138300
Lynx pardinus,191816
Colobus guereza,33548
Madurella mycetomatis,100816
Laodelphax striatellus,195883
Aspergillus oryzae RIB40,510516
Manduca sexta,7130
Rotaria socialis,392032
Lysinibacillus capsici,2115968
Pseudomonas aeruginosa PAO1,208964
bacterium ADurb.Bin363,1866927
Crucihimalaya wallichii,78192
Oryctes borbonicus,1629725
Shewanella sp. MR-4,60480
Brucella melitensis bv. 1 str. 16M,224914
Brassica rapa,51350
Pseudomonas veronii,76761
Acinetobacter puyangensis,1096779
Caenorhabditis elegans,6239
Mycolicibacterium gilvum PYR-GCK,350054
Ictalurus furcatus,66913
Weissella paramesenteroides,585506
Takifugu flavidus,433684
Blastocatellia bacterium,2496907
Hebeloma cylindrosporum h7,686832
Phycisphaera mikurensis NBRC 102666,1142394
Skeletonema marinoi,267567
Tissierellia bacterium,1588751
Taenia asiatica,60517
Varecia variegata variegata,87289
Vitrella brassicaformis CCMP3155,1169540
Anthurium amnicola,1678845
Cercopithecus nictitans,1137495
Charadrius vociferus,50402
Araneus ventricosus,182803
Sorangium cellulosum So ce56,448385
Okubovirus,1857845
Deroceras reticulatum,145610
Debaryomyces hansenii CBS767,284592
Drechslerella stenobrocha 248,1043628
Trypanosoma brucei,5702
Thrasops jacksonii,186611
Vibrio chagasii,170679
Salix dunnii,1413687
Glossina fuscipes fuscipes,201502
Nesospiza acunhae,410743
[Candida] glabrata CBS 138,
Colius striatus,57412
Janibacter hoylei PVAS-1,1210046
Antrodiella citrinella,2447956
Candidatus Saccharimonas sp.,1917697
Methanococcus maripaludis S2,267377
Ceuthmochares aereus,1961834
Rhizobium lusitanum,293958
Drosophila hydei,7224
Daphnia magna,35525
Methanococcus aeolicus Nankai-3,419665
Odontella aurita,1334967
Roseiflexus castenholzii DSM 13941,383372
Hankyongella ginsenosidimutans,1763828
Acidianus ambivalens,2283
Coxiella burnetii Dugway 5J108-111,434922
Bartonella rattimassiliensis 15908,1094556
Borrelia crocidurae str. Achema,1155096
Brucella suis ATCC 23445,470137
Rhizoctonia solani AG-1 IB,1108050
Oreochromis sp. YC-2004,299120
Citrobacter cronae,1748967
Siniperca chuatsi,1550065
Ophionotus victoriae,667017
Enterococcus sp. 7D2_DIV0200,1834187
Niastella populi,550983
Rhinopithecus bieti,61621
Pontimicrobium aquaticum,2565367
Listeria monocytogenes EGD-e,169963
Mal de Rio Cuarto virus,185954
Osphranter rufus,9321
Kwoniella heveanensis BCC8398,1296120
Bacteroides ovatus ATCC 8483,411476
Human herpesvirus 2 strain HG52,10315
Ixodes ricinus,1744878
Listeria floridensis FSL S10-1187,1265817
Anopheles gambiae,7165
Micrurus frontalis,129461
Comamonadaceae bacterium,669496
Chlorella vulgaris,3077
Eubucco bourcierii,91767
Myxococcus xanthus DK 1622,246197
Neobacillus vireti LMG 21834,1131730
Balaenoptera acutorostrata scammoni,310752
Armadillidium vulgare,13347
Naja christyi,8611
Opitutaceae bacterium TAV1,278956
Parachaenichthys georgianus,202064
Rhodococcus rhodochrous,903528
Xanthomonadales bacterium,2021234
Atractosteus spatula,7917
Aspergillus turcosus,1245748
Pseudoruegeria sp. M32A2M,2698410
Centropus unirufus,1118519
Caulobacter vibrioides NA1000,565050
Daboia russelii russelii,31159
Tachysurus fulvidraco,1234273
Euglena longa,3037
Homalodisca liturata,320908
Paraburkholderia sp. BL8N3,1938808
Lytechinus pictus,7653
Atta colombica,520822
Ignavibacteria bacterium 13_1_40CM_2_61_4,1805219
Muricauda sp.,192149
Vibrio sp. AND4,314289
Rachicladosporium antarcticum,1507870
Acidiphilium cryptum JF-5,349163
Anopheles christyi,43041
Mycobacterium avium subsp. avium 2285 (R),1299330
Blastomyces gilchristii SLH14081,559298
Thelazia callipaeda,103827
Dictyobacter kobayashii,2014872
Pseudocohnilembus persalinus,266149
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,511995
Sinosuthora webbiana,674989
Salmonella enterica subsp. enterica serovar Indiana,565037
Chinchilla chinchilla,10152
Micromonosporaceae bacterium,1873464
Anaerostipes hadrus,649756
Aplanochytrium stocchinoi,215587
Trifolium medium,97028
Gossypium barbadense,3634
Brevibacillus parabrevis,1255633
Neisseria meningitidis 053442,374833
Chryseobacterium sp. 8AT,2653134
Giardia lamblia P15,658858
Gasterosteus aculeatus,481459
Armatimonadetes bacterium,2033014
Plasmodium cynomolgi strain B,1120755
Labeo catla,72446
Nothocercus julius,2585813
Brevibacillus brevis NBRC 100599,358681
Allomyces macrogynus ATCC 38327,578462
Vannella robusta,1487602
Terrapene carolina triunguis,2587831
Tenacibaculum sp. MAR_2009_124,1250059
Varanus mitchelli,62045
bacterium 1XD42-8,2320102
Candida dubliniensis CD36,573826
Pelosinus sp. UFO1,484770
Diversispora epigaea,1348612
Nothobranchius pienaari,704102
Operophtera brumata,104452
Methylobacillus flagellatus KT,265072
Aquificaceae bacterium,2053503
Dichomitus squalens LYAD-421 SS1,732165
Nothobranchius kadleci,1051664
Papio hamadryas,9562
Cystobacter fuscus DSM 2262,1242864
Elachura formosa,1463973
Callorhinchus milii,7868
Limulus polyphemus,6850
Crocuta crocuta,397367
Ustilaginoidea virens,1159556
Candidatus Melainabacteria bacterium,2052166
Panthera onca,9690
Naja nigricollis,8654
Suillus luteus UH-Slu-Lm8-n1,930992
Calonectris borealis,1323832
Panaeolus cyanescens,181874
Chloebia gouldiae,44316
Alicyclobacillus sacchari,392010
Ralstonia solanacearum,1091042
Klebsormidium nitens,105231
Chlorocebus sabaeus,60711
Trichomalopsis sarcophagae,543379
Neophocaena asiaeorientalis asiaeorientalis,1706337
Phascogale calura,38776
Erysipelotrichaceae bacterium,564664
Penicillium steckii,303698
Nicotiana tabacum,4097
Fusarium euwallaceae,1147111
Metabacillus litoralis,152268
Magnetospirillum sp. UT-4,2681467
Carabus violaceus,188323
Lactococcus sp.,297352
Nitrobacter hamburgensis X14,323097
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,869754
Chitinophaga sancti,1004
Ceratophyllum demersum,4428
Pangasianodon hypophthalmus,310915
Borrelia hermsii DAH,314723
Ooceraea biroi,2015173
Trachypithecus obscurus,54181
Methylococcus capsulatus str. Bath,243233
Bordetella petrii DSM 12804,340100
Bradyrhizobium lablabi,722472
Spraguea lophii 42_110,1358809
Botrytis cinerea BcDW1,1290391
Proteobacteria bacterium,1977087
Pipra filicauda,649802
Mycobacterium tuberculosis,419947
Cafeteria roenbergensis,693272
Staphylococcus aureus subsp. aureus str. Newman,426430
Elysia chlorotica,188477
Nitrosospira multiformis,323848
Phenylobacterium zucineum HLK1,450851
Bacteroides sp. An19,1965580
Chloropsis cyanopogon,1218682
Anaplasma marginale str. St. Maries,234826
Theropithecus gelada,9565
Pseudomonas putida KT2440,160488
Acidaminococcaceae bacterium,394285
Methylomonas methanica,857087
Human herpesvirus 5 strain AD169,10360
Vibrio cholerae O1 biovar El Tor str. N16961,243277
Rhodopseudomonas palustris HaA2,316058
Quiscalus mexicanus,64278
Lynx lynx,13125
Nippostrongylus brasiliensis,27835
Candidatus Endolissoclinum sp. TMED37,1986638
Paenibacillus anaericanus,170367
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_59,1974439
Streptomyces virginiae,1961
Arthrobotrys flagrans,97331
Seriola lalandi dorsalis,1841481
Candidatus Falkowbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_49_15,1974572
Jannaschia sp. CCS1,290400
Ignavibacteriae bacterium,2026749
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,192222
Puccinia striiformis f. sp. tritici PST-78,1165861
Bacillus licheniformis DSM 13 = ATCC 14580,279010
Stenotrophomonas maltophilia K279a,522373
Coptotermes formosanus,36987
Trichoplax sp. H2,287889
Crypturellus undulatus,2922381
Micrurus paraensis,1970185
Deinococcus deserti VCD115,546414
Symbiobacterium thermophilum IAM 14863,292459
Chitinophaga agrisoli,2607653
Lysinibacillus pakistanensis,759811
Arthrobacter sp. 24S4-2,2575374
Myoxocephalus scorpius,8097
Sandaracinus amylolyticus,927083
Crocinitomicaceae bacterium,1986720
Physeter catodon,9755
Alca torda,28689
candidate division BRC1 bacterium ADurb.Bin183,1852823
Pteropus alecto,9402
Pseudomonas syringae pv. syringae B728a,205918
Methanosphaera stadtmanae DSM 3091,339860
Zosterops hypoxanthus,2485327
Polypterus senegalus,178879
Escherichia coli O139:H28 str. E24377A,
Ploceus nigricollis,441696
Bacteroidales bacterium Barb4,1633200
Aequorivita sp.,1872390
Candidatus Cloacimonas sp. 4484_209,1968525
Oceanobacillus chungangensis,1229152
Ailurus fulgens,424585
Novosphingobium guangzhouense,1850347
Otolemur garnettii,477174
Caenorhabditis remanei,31234
Pseudoglutamicibacter albus,98671
Glossina brevipalpis,36870
Hypholoma sublateritium FD-334 SS-4,945553
uncultured archaeon,160804
Hermanssonia centrifuga,98765
Kluyveromyces lactis NRRL Y-1140,284590
Pyrinomonadaceae bacterium,2283092
Erinaceus europaeus,9365
Tupaia chinensis,246437
Globodera pallida,36090
Crocodylus porosus,8502
Saccharopolyspora shandongensis,418495
Eimeria necatrix,51315
Muntiacus reevesi,1053482
Candolleomyces aberdarensis,2316362
Podilymbus podiceps,9252
Neodrepanis coruscans,254563
Shigella sonnei,300269
Roseimicrobium sp. ORNL1,2711231
Cercopithecus diana,36224
Aigarchaeota archaeon,1395101
Nitrospira sp.,3020901
Psychrobacter sp. PRwf-1,349106
Mikania micrantha,192012
Haematococcus lacustris,44745
Nothobranchius korthausae,1143690
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,190304
Viridothelium virens,1048519
Gulo gulo,48420
Ktedonobacterales bacterium,444456
Microbotryum saponariae,289078
Meiothermus silvanus DSM 9946,526227
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,295319
Fusarium oxysporum f. sp. cubense,61366
Firmicutes bacterium AF12-30,2292884
Oryza rufipogon,362692
Leptospira borgpetersenii serovar Hardjo-bovis str. JB197,355277
Perkinsus olseni,32597
Pteropus vampyrus,132908
Chlamydomonas schloesseri,2026947
Greenwayodendron suaveolens,235734
Plasmodium yoelii yoelii,73239
Myroides odoratus,929704
Bambusicola thoracicus,1549772
Alphaproteobacteria bacterium 65-37,1895711
Bipolaris maydis C5,701091
Capsicum baccatum,33114
Limosilactobacillus reuteri subsp. reuteri,299033
Paenibacillus oryzisoli,1850517
Cervus nippon,92867
Candidatus Solibacter usitatus Ellin6076,234267
Bradyrhizobium sp. AS23.2,1680155
Cinara cedri,506608
candidate division Zixibacteria bacterium SM23_73,1703425
Stentor coeruleus,5963
Thiothrix subterranea,2735563
Bactrocera dorsalis,27457
Naja sagittifera,195058
Aspergillus fumigatus Af293,330879
Rhizophora mucronata,61149
Nostoc ellipsosporum,663960
Talaromyces marneffei,37727
Polynucleobacter asymbioticus QLW-P1DMWA-1,312153
Cebuella pygmaea,9493
Atta cephalotes,12957
Phleum pratense,15957
Dromas ardeola,458190
Shewanella piezotolerans WP3,225849
Trichuris suis,68888
Wickerhamiella sorbophila,45607
Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172,561275
Buchnera aphidicola str. Sg (Schizaphis graminum),198804
Intoshia linei,1819745
Onychostoma macrolepis,369639
Phalacrocorax carbo,1522884
Cercocebus atys,9531
Aspergillus tamarii,41984
Sinocyclocheilus grahami,75366
Presbytis comata,272114
Streptococcus pneumoniae TIGR4,170187
Chromatiales bacterium,1986671
Laticauda semifasciata,8631
Tetradesmus obliquus,3088
Brucella canis ATCC 23365,483179
Micropogonias undulatus,29154
Halcyon senegalensis,342381
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,2077137
Acinetobacter sp. SwsAc5,2749438
Candidatus Nitrosopelagicus sp.,2026808
Prescottella equi,685727
Opisthorchis viverrini,6198
Toxoplasma gondii,508771
Mycobacterium sp. KMS,189918
Escherichia coli O127:H6 str. E2348/69,
Phocaeicola vulgatus,821
Arabis hirsuta,78191
Guillardia theta,905079
Lactococcus lactis subsp. lactis,272623
Fibrobacteres bacterium,1936498
Anguilla anguilla,7936
Shewanella sp. MR-7,60481
Komagataeibacter europaeus NBRC 3261,1234669
Chilo suppressalis,168631
Saprospira grandis str. Lewin,984262
Citrus x limon,2708
Zobellia laminariae,248906
Rhizobium sp. NXC24,2048897
Anopheles melas,34690
Plautia stali,106108
Lophocebus aterrimus,75566
Climacteris rufus,47695
Sitophilus oryzae,2342
Loa loa,7209
Clavibacter michiganensis subsp. michiganensis NCPPB 382,443906
Sclerotinia sclerotiorum 1980 UF-70,665079
Pseudomonas entomophila L48,384676
Candidatus Koribacter versatilis Ellin345,204669
Rhodobacter capsulatus SB 1003,272942
Microtus montanus,88450
Aspergillus oryzae,90341
Ceratocystis fimbriata CBS 114723,1035309
Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_40_22,1802499
Bacillus cereus ATCC 14579,226900
Parcubacteria group bacterium GW2011_GWA2_47_7,1618846
Histoplasma capsulatum G186AR,447093
Paramecium tetraurelia,5888
Pedobacter zeae,1737356
Enterocloster aldenensis,358742
Anguilla japonica,7937
Planctomycetaceae bacterium SCGC AG-212-F19,1799658
Thermococci archaeon,2250254
marine bacterium AO1-C,1905359
Bradyrhizobium huanghuaihaiense,990078
Sclerurus mexicanus,1217572
Pediococcus pentosaceus ATCC 25745,278197
Phycisphaerales bacterium,2052180
Vibrio lentus,136468
Caligus rogercresseyi,217165
Sinorhizobium meliloti 1021,266834
Ephemera danica,1049336
Streptococcus pyogenes str. Manfredo,160491
Vigna subterranea,115715
Clostridium sp. CAG:609,
Treponema pallidum subsp. pallidum SS14,455434
Protomyces lactucae-debilis,2754530
Cambarellus shufeldtii,60963
Stackebrandtia albiflava,406432
Niallia circulans,1397
Oltmannsiellopsis viridis,51324
Clostridium cavendishii DSM 21758,1121302
Leishmania major,5664
Bacillus sp. AFS041924,2033503
Rickettsia akari str. Hartford,293614
Parambassis ranga,210632
Galbula dea,1109041
Xenorhabdus bovienii SS-2004,406818
Corynebacterium glutamicum R,340322
Purpureocillium lilacinum,33203
Puccinia triticina 1-1 BBBD Race 1,630390
Hydrophis cyanocinctus,8686
Ursus maritimus,29073
Spodoptera frugiperda,10455
Erythrobacter litoralis HTCC2594,314225
Alectura lathami,1095420
Chloroceryle aenea,176938
Chthoniobacterales bacterium,2201154
Escherichia coli TA447,656447
Pedobacter heparinus DSM 2366,485917
Paracoccidioides lutzii Pb01,502779
Elsinoe ampelina,302913
Chaetodipus penicillatus,38672
Sulfolobus acidocaldarius DSM 639,330779
Perca fluviatilis,8168
Anaerolineae bacterium,1577230
Cercotrichas coryphoeus,614051
Pediculus humanus corporis,121224
Toxoplasma gondii VEG,432359
Vulpes lagopus,494514
Trichinella papuae,268474
Cylindrophis ruffus,186578
Chlorobium limicola DSM 245,290315
Xanthomonas phaseoli pv. phaseoli,1365651
Onion yellows phytoplasma OY-M,262768
Brachypodium distachyon,15368
Streptomyces sp. SID5910,2690312
Tardiphaga sp. P9-11,2024614
Saimiri oerstedii,70928
Drosophila kikkawai,30033
Sistotremastrum suecicum HHB10207 ss-3,1314776
Bacillus velezensis FZB42,326423
Malonomonas rubra,57040
Symbiodinium microadriaticum,2951
Fructilactobacillus sanfranciscensis,1625
Microcaecilia unicolor,1415580
Eucalyptus globulus subsp. globulus,71271
Monilinia fructigena,38457
Morone saxatilis,34816
Apaloderma vittatum,57397
Acipenser sinensis,61970
Calocera viscosa TUFC12733,1330018
Acidimicrobiia bacterium,179112
Thrips palmi,161013
Microdochium bolleyi,196109
Synechocystis sp. PCC 6803 substr. Kazusa,1111708
Nothophytophthora sp. Chile5,2483409
Shewanella loihica PV-4,323850
Seriola dumerili,41447
Clostridium perfringens SM101,289380
Teladorsagia circumcincta,45464
Pseudomonas phage phi12,161736
Candidatus Heimdallarchaeota archaeon LC_3,1841598
Nothobranchius furzeri,105023
Rhodopseudomonas palustris BisB18,316056
Oryza meyeriana var. granulata,110450
Burkholderia pseudomallei 1106a,357348
Bacteroides cellulosilyticus,537012
Microgenomates group bacterium GW2011_GWA2_46_7,1618502
Delftia acidovorans SPH-1,398578
Legionella jamestowniensis,455
Canavalia brasiliensis,61861
Naja atra,8656
Lineolata rhizophorae,578093
Dermatophagoides pteronyssinus,6956
Cryptotermes secundus,105785
Aedes albopictus,7160
Paraburkholderia xenovorans LB400,266265
Kurthia sibirica,202750
Bacteroides thetaiotaomicron,226186
Maritimibacter sp. HL-12,1162418
Cariama cristata,54380
Petromyzon marinus,7757
Streptomyces antibioticus,1306178
Shigella boydii Sb227,300268
Streptococcus sp.,1306
Adenia mannii,340634
Salix viminalis,2886917
Dictyocha speculum,35687
Hemitrygon akajei,2704970
Naja pallida,8658
Clostridium botulinum,445336
Ceratotherium simum,73337
Daucus carota,1472337
Haloarcula sp. K1,1622207
Ectocarpus siliculosus,37665
Streptomyces sp. SID8380,2690360
Lactococcus phage TP901-1,35345
Cryomyces minteri,331657
Latilactobacillus sakei,1599
Micrurus clarki,1817999
Procavia capensis habessinica,9814
Staphylococcus aureus,663951
Lucilia cuprina,7375
Cricetulus longicaudatus,10030
Tenacibaculum sp. SZ-18,754423
Vigna angularis var. angularis,157739
Mesembrinibis cayennensis,1118748
Photorhabdus akhurstii,171438
Yersinia pestis subsp. pestis bv. Medievalis,385965
Hericium alpestre,135208
Halorhodospira halochloris,1052
Serratia marcescens,911022
Ditylum brightwellii,49249
Prochlorococcus marinus str. MIT 9211,93059
Nicotiana tomentosiformis,4098
Micrurus lemniscatus carvalhoi,129465
Magnaporthiopsis poae ATCC 64411,644358
[Pythium] brassicae (nom. inval.),
Legionella steigerwaltii,460
Paramoeba aestuarina,180227
Rhodospirillaceae bacterium,1549855
Chaetothyriales sp. CBS 132003,2249419
Tetraodon nigroviridis,99883
Timema californicum,61474
Esox lucius,8010
Sipha flava,143950
Lygus hesperus,30085
Mesoplasma florum L1,265311
Methanococcus maripaludis C5,402880
Candidatus Methanomethylophilus sp.,2774294
Demansia vestigiata,412038
Trichodesmium erythraeum IMS101,203124
Parastrongyloides trichosuri,131310
Clathrospora elynae,706981
Leontopithecus chrysopygus,58710
Merops nubicus,57421
Cladophialophora carrionii,86049
Stercorarius parasiticus,54059
Heterorhabditis bacteriophora,37862
Geococcyx californianus,8947
Sulfuriferula plumbiphila,171865
Roseovarius marisflavi,1054996
Haloarcula sp. Atlit-120R,2282135
Clonorchis sinensis,79923
Haemophilus influenzae Rd KW20,71421
Ostreococcus sp. 'lucimarinus',242159
Streptococcus pyogenes MGAS10270,370552
Sphaerobolus stellatus SS14,990650
Arcella intermedia,1963864
Cavia porcellus,717919
Syncephalis pseudoplumigaleata,1712513
Naja annulifera,96794
Halorubrum arcis JCM 13916,1230455
Mico argentatus,867362
Clostridium cadaveris,1529
Actinobacillus succinogenes 130Z,339671
Penicillium brasilianum,104259
Venturia effusa,50376
Opisthorchis felineus,147828
Ureaplasma parvum serovar 3 str. ATCC 700970,273119
Scopus umbretta,33581
Rhodospirillales bacterium,1380357
Micrurus laticollaris,1240351
Symbiodinium necroappetens,1628268
Streptomyces sp. SID8455,2706104
Moraxella caviae,34060
Aspergillus flavus NRRL3357,332952
Sphaeroforma arctica JP610,667725
Sus scrofa domesticus,9825
Methanothermobacter thermautotrophicus,866790
Caenorhabditis tropicalis,1561998
Saprolegnia parasitica CBS 223.65,695850
Galdieria sulphuraria,130081
Nyssa sinensis,561372
Borreliella afzelii PKo,390236
Gavia stellata,37040
Grus americana,9117
Parcubacteria group bacterium LiPW_39,2017205
Phocaeicola coprophilus DSM 18228 = JCM 13818,547042
Drimys granadensis,224735
Trichuris muris,70415
Deinococcus radiopugnans ATCC 19172,585398
Yersinia pestis,187410
Methanocella arvoryzae MRE50,351160
Cyprideis torosa,163714
Hoplocephalus stephensii,196418
Alphaproteobacteria bacterium,1734406
Bacteroides pyogenes JCM 6292,1235809
Channa argus,215402
Dendrolobium lanceolatum,185705
Heterosigma akashiwo,536046
Pachyramphus minor,369605
Crenarchaeota archaeon,2056631
Clostridium botulinum A3 str. Loch Maree,498214
Paralichthys olivaceus,8255
Medicago sativa,36902
Geobacillus kaustophilus HTA426,235909
Cavenderia fasciculata SH3,1054147
Parabacteroides johnsonii DSM 18315,537006
Gossypium hirsutum,3635
Zapornia atra,2585822
Meiacanthus atrodorsalis,1405650
Trema orientale,63057
Thiomonas delicata,364030
Doryteuthis pealeii,1051067
Schistosoma curassoni,3054441
Thermoanaerobacter sp. X514,399726
Malacoplasma penetrans HF-2,272633
Rubrobacter xylanophilus,266117
Empedobacter tilapiae,2491114
Cervus elaphus hippelaphus,46360
Setaria viridis,1398188
Meyerozyma guilliermondii ATCC 6260,294746
Fremyella diplosiphon NIES-3275,
Trichinella nelsoni,6336
Oryzias latipes,8090
Psychromonas sp. SP041,1365007
Rhodanobacter sp. MP1X3,2723086
Patulibacter medicamentivorans,1097667
Bursaphelenchus xylophilus,6326
Mycobacterium tuberculosis variant bovis AF2122/97,233413
Caenorhabditis latens,1503980
Echeneis naucrates,173247
Cupriavidus metallidurans CH34,266264
Pomacea canaliculata,400727
Aliivibrio fischeri ES114,312309
Vigna unguiculata,3917
Lactiplantibacillus plantarum,1590
Verticillium dahliae VdLs.17,498257
Burkholderia pseudomallei K96243,272560
Macrophomina phaseolina MS6,1126212
Subdoligranulum sp. AF14-43,2302959
Spirodela intermedia,51605
Trichormus variabilis ATCC 29413,240292
Weissella hellenica,46256
Mastomys natalensis,10112
Flavobacteriaceae bacterium,870483
Chaetodipus baileyi,323381
Micrurus mipartitus,430902
Methanothrix sp.,183756
Mycobacterium tuberculosis H37Ra,419947
Trichinella sp. T9,181606
Grammatophora oceanica,210454
Spironucleus salmonicida,348837
Bacillus anthracis,198094
Coraliomargarita sinensis,2174842
Pan troglodytes,9598
Opheodrys aestivus,186591
Rhipicephalus microplus,6941
Crithidia fasciculata,5656
Spizellomyces punctatus DAOM BR117,645134
Methanocaldococcus jannaschii DSM 2661,243232
Lutzomyia longipalpis,7200
Stenotrophomonas sp. HMWF022,2056858
Haemophilus influenzae 86-028NP,281310
Leishmania mexicana,5665
Aequorivita sp. 609,2760087
Pseudomicrostroma glucosiphilum,1684307
Poecilia mexicana,933968
Physcomitrium patens,3218
Sapayoa aenigma,239371
Punavirus P1,186789
Ustilago maydis 521,237631
Candidatus Falkowbacteria bacterium RIFOXYA2_FULL_38_12,1797993
Chrysotila carterae,13221
Aethionema cordifolium,434059
Pisolithus tinctorius Marx 270,870435
Candidatus Woesearchaeota archaeon,2026803
Panagrellus redivivus,6233
Lachnoclostridium sp. An131,1965555
Bothrops moojeni,98334
Eurystomus gularis,325343
